و	، را که از در به آن او شما برای بر پس خود گردآوری بدرقه
،	و که را به از در . آن آنان خدا شما ؛ او برای تو
.	» ، ؟ ؛ طا نتوانند پلیدی تدبیر و نخواهیم_شد حا مهلتشان صاد سین یاریتان
را	و ، که به از شما او آن درآوردیم ما آنچه تا دعوت‌کننده بر بزداید
که	، و را در به از آن شما این‌‌ها برمی‌انگیزد کسانی آن‌هایی با یافته‌اند ستمگرتر
به	را ، و که در آنان برای او با خود جستند بر ببینی کردار گزارش
از	و ، را که در آن به بپرهیزید شما برای جنبندگان او خود جنی پس
در	و که آن به خواهند_ماند برجاست می‌نهیم جاودانند نیکان طلا پیچیده بدرقه شکم نهفته پرنیان
آن	، در از و هر مشرق بی‌هیچ است وقوع یکسر غفلت سرا ستمگرتر آنچه زند
خدا	و ، پیامبرش بگروید مساجد استادت هدایتشان درمی‌گذرد می‌جنگند راستان ؛ بخواهید ست ندانسته می‌شکنند
است	خواهد_بود هموست باری دوستدار سرا منم شکوهمند همانا آن گرداند استادت ی‌ آسمان‌های خردمندان وصف
:	« گفتند بگو گفت برجای‌ماندگان خواهند_گفت ان ملکه شخص شا بگذارید می‌گفت پیامبرشان بیایید الها
«	: گفتند بگو گفت مهلت‌یافتگانی ان خواهند_گفت می‌گفت برجای‌ماندگان ملکه شا الها پسرک پیامبرشان کجایند
شما	را ، خودتان می‌خواهد از آنان که خواهستم صرفاً و سپاه ایشان نخستین‌بار بخواهم یافته‌اید
آنان	ایشان ، به بدیشان می‌برد همان‌گونه برده‌اند آن پیوست آزاری حتی چشمان در آنچه نکرده‌ایم
بر	عهده داریم دست‌ها واجب خویشتن بنا شیطان‌ها با دوش جوید شمرده بدرقه می‌نهیم بیفزاید حقیقتی
»	منتظر ؟ نخواهیم_شد نصرانی ساحری درخواست نیستیم سپاسگزاران حواریون دانا هستی بودم فرمانبرداران هستم بیدادگران
او	وی خدا را ببخشود ، و بسی بدو به نهاده‌اند بپرستم بگروید نیل گرویدیم برادرش
برای	اندرزی رهنمود از روشنی نصیبی ، شما آراسته آزمایشی دامهایتان همسرانی و نباید می‌ترسد سرگذشت
ما	پروردگارمان فرزندانمان بودیم می‌گفتند آمده‌ای تواند واقعاً پدرانمان دعوت‌کننده راستی دروغگو داده_بود بسته‌ایم داریم نزدیکترین
خود	خویش آرید حسب خویشتن خودم سخنان قلبش خیانت وفا عبادت دهان آنان مشاهده فرزندش را
پس	آید زلزله شوهرش ببخشود تخت بخواهیم تا فرق می‌خواهی برداشتیم سو ناگاه نمود عشیره رگباری
؟	. » رخ ندارید مزدی درخواست چیست غیب خدایانی نخواهیم_شد مدد سرانجامی کوبنده بی‌مقدار پندگیرنده‌ای
کسانی	ورزیده آوردند ایمانتان پیوست گرویده پنداشته‌اند مدینه غافلند دانشمندان مالک یافته‌اند ایمانشان ندیدی زیردست انگاشتند
؛	، مردگان خدا شرکت صلاح شر بکشید چشنده محصولات ایستادگی می‌توانید عشیره خانه خواهی_، کارهایشان
تو	قرآن بخوان سرگذشت بیهوده نمی‌خواهم کتابی راهبر آنان الهام هوس‌های اشاره القا علیه دیوانه خودمان
آنچه	چیزهایی موجب نظیر سبب برمی‌بافتند کارهایی می‌دانم دستشان پنهان نهفته نهان کتمان انحراف دستاورد اختلاف
با	قصد درمی‌آمیزید مخالفت نیاورده برخیزند سرزمینتان تواند بر بیعت به گفتگو برخاستند علیه همخوابگی ببینی
این	ماجرا قرآنی کتابی تذکاری کدامین نوشته‌ها بشارتی سومین سحری پندآموزی سرگذشت بخشودیم بجز درس عقوبت
هر	چند ملکوت بیراه ذره‌ای هموزن فرمانروایی مانع کس بیازماییم می‌توانید گناه‌پیشه کم ندانستی تازه خواهی_،
تا	بخشی شاید مبادا استفاده گمراهی‌شان صرفاً کمی روشن بازپس نمی‌فرستیم دوباره نوری وسیله رحمتش جانشین
اگر	سازش گفته حتماً سوگندهایی فراموشی برگرداند بیاورید بگردانید بگیریم نمی‌کردند نزدیکی داشتید نکرده‌اند پیروز یابید
من	بیدادگر مرا پسرک نمی‌دانم کارم گفتی شمایم دادی شده‌ام پروردگارم می‌بینم حسب تعبیر آرید نمی‌کنم
ایمان	آورده‌اند بازپسین نمی‌آورند آورده‌اید توبه ورزیده کتاب‌ها اسلام کافرند بیاورند معبودان دل‌های می‌شناسد فرود یهودی
چون	رسید آرامش خاندان هنگامی افکندند دید رود کوه‌آسا نخوت می‌بینی آیند قصد محشور اشاره افکند
آیا	مردیم کجایند پندگیرنده‌ای هست گم شدیم مسیح استخوان برتافت شریکانی بنگرند جماعتی نصیبی بهترند گفته_شود
جز	نمی‌خوانند سپاهیان بجز غیر بشر بشری می‌دانند بیش بپرستند بیم‌دهنده تذکاری نبود بهره‌ای بسته_است نفرستادیم
زمین	آسمان‌ها فساد آسمان پدیدآورنده بنگرید آفرینش لنگر پیچیده برمی‌دارند ملکوت آسمان‌های خلق ندانستی بگردید گهواره‌ای
آن‌ها	غرفه‌هایی درستکارند سرشان بریده برخی مخالف میوه‌های بیهوده‌ای قلم می‌توانید می‌زنند طغیان نافرمان پندار دست‌ها
ای	برادرشان قارون کشور پسرک ایوب هود برادرم نمی‌آورد خاندان فرستادیم‌ سران مادرم خواهر شعیب «
گفت	« گفتند می‌گفت ملکه درداد : مهمانان ان حق‌گرا برگشت شا مصر آورده_بود قوم سران
سوی	بازگردانیده بسوی بازگشت بازگردانده راه‌های روشنایی سویت حقیقی برانگیختیم چنگ آور فرود وسیله سمت ببر
یا	خانه‌های زناکار حاکی پایان سراغ استثنا ایمن بیمار بهترند بندد خوانده_می‌شود می‌بینند مدت شوهر فروتر
کسی	کیست آورده کس بکشد بشری آغاز ماییم نفسی تکلیف اوست مردگان ببخشود ندارد ندانسته‌ای خدای
نیست	بربافتد نگرداند نخواهند_شد اوست نبود نیستید ندانسته‌اند سرور حمایتگری نباشد گناهی تسلطی نکرده‌اند است هشداردهنده‌ای
قطعاً	مسلم‌ها شوید حتماً هرآینه داده_باشد شنوایی مسلط ابری کارشان معجزات می‌آورد غفلت پنجم می‌خواست بگیریم
چه	بپرسی دانی وه نشانه‌ها سرانجامی کی چیست هان توبه‌کار یاران بسا فردا بیمشان قرارگاهی درخواست
روز	رستاخیز قیامت اول روانند بدارد پیاپی بیدار معلوم واقعه سه هراسانند شب وقوع نگاه شماره
ایشان	آنان هوس‌های هدایتشان طاغوت پاکشان نفرستاده‌ایم دل‌هایی بگذارشان رشک بیاور قبله کجا نداشت دیدگانشان پروردگارت
پیش	نسل‌ها پایدار قبل امت‌هایی بپرس اسرائیل قومشان اخبار انس کسان گسیل یافته‌اند خواهیم_پرسید صحیفه‌های چنگ
کس	ستمکارتر کیست گمراه‌تر دلی شتابزده بخواهد بیراه کسی بندگانش پندارد شفاعت شایسته‌ای می‌بخشاید حدود شمرده
گفتند	« : شیوه نصرانی ترسایان خواهند_گفت افسانه‌های می‌ورزیدند می‌گویند انس جماعتی شاهد رساندیم دیدند قومش
نه	بیمی کاسته بروند شاعری نخواهد_رسید ساعتی رها گر اندوهناک سزد ستدی سودی می‌توانند پندار نخواهند_شد
مردم	فرزندان سوگندهای ترازو نمازشان خودشان میانه ساکنان حج خبرهای جدایی بینوایان بپرستید بپرستند دلیل مردها
بگو	« : خواهند_گفت برجای‌ماندگان گنجینه‌های پسرک بپرسی آن‌هایی مغرب می‌پرسند خواهید_دانست مالی کجایند اکنون گویند
پروردگار	هستم رحمتگر خاور منم شکست‌ناپذیر صاحب گنجینه‌های فرمانبر بخششی استادت نکنی بخشایشگر مهربان مولای شکوهمند
میان	عادل روانه موقع خواهیم_آورد رسید گیرید خاور دنیاست جدایی اخبار بنی‌اسرائیل جمله شاهد می‌دانستند نبوت
راه	راهی مال کراهت بی‌راه افتادند فرستاده‌اش گمراهی جانتان جان رسم کم انکار راهنمایی خرج کمینگاهی
دو	عادل تن باغ دسته سرعت یکی شش نکاح هزار حیوانی سه دلخواه برآورد حد مصیبتی
حقیقت	گفتار راستی باره گرویده‌اند حجتی غیب بی‌گمان نشانه‌های علم خبرهای گفته گمان دنیای هم پیام
آنکه	احد کلمات اینکه برمی‌گردانند ایمانتان مکه عذر پذیرش شد کارهایی دست‌های دوستی راضی کج نیاورید
آنگاه	هنگامی برآمدن قوت سخت‌ترین ندا برانگیختیم سپس بخشید سایر ناتوانی چنان مادرت وادی دهیم رسولانی
عذاب	عذابشان خفت‌آور دچار شکنجه عذابی دردناک رسوایی تهدید مراقب کیفر داده_می‌شوند همانند واجب عذابش اعمال
همان	ملکوت شکست‌ناپذیر بلندمرتبه فرمانروای همین داستان کسانند خداست گفتار کسانی‌اند شبانگاه امت نیکوکار آفرینش می‌گذرند
کنید	دستهایتان بربرید می‌نمایند فرمانم برخیزید عدالت داشته‌اند نمی‌کنید کنم می‌کنید نمی‌توانید نمایید دارید نکردید نکرده‌اند
روزی	رسیدن برمی‌انگیزد بی‌حساب ببرند همان‌گونه رزقی می‌آید دردناک عذابی پاداشی دارید گزند فرجام دفع بهشتی
هیچ	نسزد مؤمنی نکرده خویشاوندی فرزندش یاوری زیانی وجه نرسد نمی‌دهد شفاعت آوریم ناسپاسی مراعات دوستانی
قرار	نشان نداده_است نهاد برتری شهادت نجات همتایانی سیر جانشین گردانید میانه داد آزمایش حرکت نهرها
چیزی	دلیلی نمانده_بود شریکی تقواپیشگان چیز خوانید ندارم خدایانمان دروغگو امین علم گر چیزهایی غیر آفریده
نیز	دسته‌های همگی دیدار خاندان گزارش رسولانی مخالف ظلم اصحاب برمی‌گزیند خدایان لعنت الهام تخفیف هشداردهندگان
هم	مشاهده می‌گردیم شنبه می‌شد آفرینشی بریده دمیده گونه‌ای‌ آهن فساد یابند اشاره مردها بشنوند سحری
بود	گردانیدیم نشانه‌ها نبودی دادیم سنجید روشنایی عبرتی زدیم درس دوان برآورد فرشتگانی می‌خواهید گرفته آور
می‌کنند	می‌نمایند می‌پردازند نمی‌کنید اینانند نموده مکنید نمودند می‌دارید می‌دارند می‌آورند می‌کردند کنند نمی‌دارد می‌آیند شیری
می‌گویند	گویند می‌گویی گفتند سحری نبودیم نگویید شیوه خواهند_گفت نصرانی فرشته‌ای بگویند گفتید آمده_است نمازگزاران نخواهیم_آورد
کند	گرداند کرده_باشد نماید کنند یابید نمایید ورزد کردید کنیم نمی‌کنند بیاورد کن نگرداند می‌بینیم نور
کردیم	نمودیم نکردیم کرد غرق می‌کردیم باقی‌ماندگان می‌کنیم گردانیدیم شده_بود کرده_است تدریج دادیم کشتی عطا کردی
کردند	ورزیدند می‌نمودند نکنند زدند پرداختند کرد ورزیده فرقه کرده_بودند می‌کردند گردیدند می‌کردید برخاسته فرزندان نکردند
مگر	سبب بی‌آنکه دلیلی شهری نمی‌گیرد پلید منع سزاوار می‌برم ترسایان بازدارنده‌ای انصار گریزی ماندگار داخل
باشد	رهنمود بشارتی بیاورد توضیح دهی بنگر پندی مسلمانان دامهایتان گونه‌ای‌ گرایید شاید نمودار می‌ترسد استفاده
اوست	سنجیده‌کار سرا شکست‌ناپذیر هموست فرمانروایی کیست ملکوت صفات می‌پذیرد می‌میراند آسمان‌های دوستدار چیده پدیدآورنده ست
فرو	فرستاد تابناک گاه نمی‌دیدید فرود کوه‌هایی گرفت مرگبار ببینند ننگریسته‌اند می‌نوشید ریختیم باران می‌خورد ابری
یاد	زمانی وفا طلب پا مادرت اسماعیل می‌کنم قربانی بترسد فرمانم دمیده یادآوری همپای بهره‌مند برطرف
روی	برتافتند بیرون برتاب می‌خوانند برمی‌تابند خوانده_شود هوس‌های بگردان گام منتظر درگذرد فروتنی توبه موجی می‌داند
!	شایسته‌تر منم سامری چهره‌هایشان مثل‌ها دست سرانجامی جایگاه می‌ترسم جانشینی ناخوش چیست شکست‌ناپذیر زیرا گر
خداوند	استادت تقواپیشگان رحمتگر حکیم بخششی توبه‌پذیر کفران می‌خواهم فرستاده‌ای شکیبایان ایمانشان داده_باشد بردبار مکشید پیامبری
کتاب	آسمانی تورات فرقان عربی کتابند اهل نبوت انجیل مجادله قبل ندانسته‌ای می‌خوانیم حق خوانده_می‌شود موجب
آسمان‌ها	زمین فرمانروایی ملکوت آسمان‌های ندانسته‌اند پدیدآورنده خلق آفرینش سینه‌هایشان دل‌ها نگردیده‌اند ندانسته‌ای یکسره ستمکارتر آسمان
کن	کنی پرداز می‌کرد می‌نمایند ساختند بده دعوت دار حق‌گرا نمایید جانشان گرویده‌اند شامگاهان کنید گوی
خداست	مشرق سرا ملکوت اوست بگردانید دانایی پندارد زشت فرمانروایی بندگانش استادت رساندن قرارگاه ندانسته‌اند یافته‌اید
بودند	چشانید مثل‌ها دانش دسته‌های هستیم دسته‌ای اینان عده‌ای اصحاب گسیل می ریشه‌کن شدند زیردست منکر
آیات	نشانه‌های ابطال معجزات لقای آورده_بودند روشنی ورزیده آمده‌ای حجتی دیرباز معبودان خیال فرستادگان توبه‌پذیر قبلاً
حق	رهبری فرقان کتاب اسلام تشخیص بلندمرتبه مؤید بحق فرستادن سوره‌ای تصدیق‌کننده روشنگر پرهیزگاران نفس معجزه‌ای
مرا	نمی‌خواهم شا من ان الله فرمود می‌خوانم فرمانم کارم تنها پروردگارم پرستش نیکویی نکنی می‌خواهی
جانب	گرویده‌اند بخششی آمرزشی معجزه‌ای روشنگر رهنمود جوار نمی‌آورد طرف اندرزی راهبر فضل قرآنی حکمت رحمتی
پیامبر	اطاعت فرستاده‌اش می‌شناسد بگروید بجنگید بزرگی گرویدیم منافقان پیامبرش خوب تنها می‌کشند محرمانه ابلاغ انصار
کرد	کردم می‌کنیم کردیم کردند نکردیم نمود گردانید آسیب کردی بزن نمودیم دید می‌کردیم ورزید عادیان
